sku,vol,mean,std,cv,cum_vol,abc,xyz,segment
7080689,1777.0,12.692857,40.03396,3.1540542,0.2211379,A,X,AX
6896613,1777.0,12.692857,15.064798,1.1868721,0.22198461,A,X,AX
7253526,1771.0,12.65,20.460148,1.617403,0.22282848,A,X,AX
6924282,1763.0,12.592857,24.53859,1.9486117,0.22366853,A,X,AX
6984427,1760.0,12.571428,12.892551,1.0255439,0.22450714,A,X,AX
4250035246942,1758.0,12.557143,12.890949,1.026583,0.2253448,A,X,AX
7471268,1751.0,12.507143,15.223277,1.2171667,0.22617914,A,X,AX
4250035246959,1727.0,12.335714,14.475785,1.1734858,0.22700204,A,X,AX
2684707,1714.0,12.242857,13.854262,1.13162,0.22781874,A,X,AX
6240200,1698.0,12.1285715,12.15064,1.0018195,0.22862782,A,X,AX
7119842,1693.0,12.092857,15.001149,1.2404966,0.22943452,A,X,AX
6323071,1691.0,12.078571,12.232206,1.0127196,0.23024026,A,X,AX
6620609,1690.0,12.071428,9.907227,0.82071704,0.23104551,A,X,AX
6032029,1663.0,11.8785715,19.727448,1.6607592,0.23183793,A,X,AX
6977363,1641.0,11.721429,13.674041,1.1665848,0.23261984,A,X,AX
6342543,1641.0,11.721429,14.279365,1.2182273,0.23340176,A,X,AX
6565465,1640.0,11.714286,13.377897,1.1420156,0.23418319,A,X,AX
6473983,1636.0,11.685715,16.211767,1.387315,0.23496273,A,X,AX
4250587705461,1630.0,11.642858,10.492938,0.9012339,0.23573941,A,X,AX
7405605,1622.0,11.585714,22.563416,1.9475205,0.23651227,A,X,AX
4250338465781,1608.0,11.485714,13.090436,1.1397146,0.23727846,A,X,AX
UPT01049,1607.0,11.478572,11.041105,0.96188843,0.23804419,A,X,AX
V-MAN-NP-3M,1606.0,11.471429,11.188022,0.97529453,0.23880942,A,X,AX
6041665,1600.0,11.428572,25.014856,2.1887999,0.23957181,A,X,AX
7481903,1599.0,11.421429,22.330116,1.9551071,0.2403337,A,X,AX
6050336,1596.0,11.4,12.32521,1.0811588,0.24109419,A,X,AX
6944157,1594.0,11.385715,12.409433,1.0899125,0.24185371,A,X,AX
7119909,1584.0,11.314285,14.194479,1.2545626,0.24260847,A,X,AX
6864983,1569.0,11.207143,12.790789,1.1413069,0.24335608,A,X,AX
6350439,1568.0,11.2,13.58967,1.2133634,0.24410321,A,X,AX
6567156,1565.0,11.178572,12.568814,1.1243668,0.24484892,A,X,AX
6342097,1561.0,11.15,14.121225,1.2664777,0.24559271,A,X,AX
6280180,1538.0,10.985714,18.611122,1.6941204,0.24632555,A,X,AX
gift-518,1521.0,10.864285,40.566174,3.7339017,0.2470503,A,Y,AY
ER3251A,1518.0,10.842857,10.743759,0.9908605,0.2477736,A,X,AX
6031997,1517.0,10.835714,9.839438,0.90805626,0.24849644,A,X,AX
7477372,1506.0,10.757143,17.499382,1.6267686,0.24921404,A,X,AX
4250587739084,1505.0,10.75,14.569666,1.3553177,0.24993114,A,X,AX
6245225,1498.0,10.7,9.806546,0.9164997,0.25064492,A,X,AX
6941245,1493.0,10.664286,16.025883,1.502762,0.25135633,A,X,AX
6533778,1484.0,10.6,11.625944,1.0967871,0.25206342,A,X,AX
7236976,1481.0,10.578571,8.732696,0.82550806,0.2527691,A,X,AX
6404442,1478.0,10.557143,12.434733,1.1778502,0.25347337,A,X,AX
6031930,1475.0,10.535714,15.334829,1.4555092,0.25417617,A,X,AX
6050757,1474.0,10.528571,13.884127,1.3187095,0.25487852,A,X,AX
6237438,1467.0,10.478572,19.858662,1.8951687,0.25557753,A,X,AX
ER3250A,1462.0,10.442857,8.485512,0.81256616,0.25627416,A,X,AX
94429-07400-30,1460.0,10.428572,10.578342,1.0143616,0.25696984,A,X,AX
7067330,1459.0,10.421429,9.855114,0.9456586,0.25766504,A,X,AX
6576199,1456.0,10.4,11.620374,1.1173437,0.2583588,A,X,AX
6059600,1454.0,10.385715,19.524412,1.8799295,0.25905162,A,X,AX
6085357,1452.0,10.3714285,9.943251,0.9587156,0.25974348,A,X,AX
2709538,1444.0,10.314285,9.503567,0.92139846,0.26043153,A,X,AX
6081216,1442.0,10.3,17.752779,1.7235707,0.26111862,A,X,AX
7272971,1440.0,10.285714,20.37006,1.9804225,0.26180476,A,X,AX
6569954,1439.0,10.278571,9.132177,0.8884676,0.26249042,A,X,AX
6932418,1439.0,10.278571,11.438964,1.1128944,0.2631761,A,X,AX
6106153,1439.0,10.278571,7.5246053,0.7320672,0.26386178,A,X,AX
7239988,1433.0,10.235714,12.142801,1.186317,0.26454458,A,X,AX
6392035,1417.0,10.1214285,11.694226,1.1553929,0.26521975,A,X,AX
7105130,1414.0,10.1,16.048622,1.5889724,0.26589352,A,X,AX
6077628,1405.0,10.035714,15.924467,1.5867797,0.26656297,A,X,AX
6032045,1404.0,10.028571,14.15736,1.4117026,0.26723197,A,X,AX
6634840,1383.0,9.8785715,11.398263,1.1538372,0.26789096,A,X,AX
7124982,1377.0,9.835714,8.68026,0.8825246,0.2685471,A,X,AX
6031880,1372.0,9.8,11.666961,1.1905062,0.26920083,A,X,AX
7087890,1371.0,9.792857,11.768447,1.2017379,0.2698541,A,X,AX
6267039,1371.0,9.792857,15.389194,1.5714712,0.27050737,A,X,AX
3600522108023,1371.0,9.792857,11.441749,1.1683769,0.27116063,A,X,AX
6287904,1369.0,9.778571,11.038239,1.1288192,0.27181295,A,X,AX
7466474,1364.0,9.742857,14.671154,1.505837,0.27246287,A,X,AX
6032011,1363.0,9.735714,9.827001,1.0093765,0.27311233,A,X,AX
6575282,1363.0,9.735714,15.971022,1.6404572,0.27376178,A,X,AX
88232,1354.0,9.671429,11.410864,1.179853,0.27440694,A,X,AX
6946947,1340.0,9.571428,10.2228,1.0680538,0.27504542,A,X,AX
6829333,1340.0,9.571428,9.8442135,1.0285,0.27568394,A,X,AX
7114827,1340.0,9.571428,8.851406,0.9247738,0.27632242,A,X,AX
7360347,1340.0,9.571428,9.229404,0.9642662,0.2769609,A,X,AX
6318170,1338.0,9.557143,18.120806,1.8960483,0.27759847,A,X,AX
6565432,1330.0,9.5,12.362917,1.3013597,0.2782322,A,X,AX
6840033,1330.0,9.5,18.560226,1.953708,0.27886593,A,X,AX
6931782,1328.0,9.485714,14.160685,1.4928433,0.2794987,A,X,AX
6384792,1326.0,9.471429,9.700881,1.0242257,0.2801305,A,X,AX
6006643,1326.0,9.471429,11.807474,1.2466413,0.28076234,A,X,AX
8436037793097,1318.0,9.414286,9.326211,0.9906446,0.28139037,A,X,AX
9000100417839,1312.0,9.3714285,8.744448,0.9330966,0.2820155,A,X,AX
2873167,1298.0,9.271428,13.477315,1.4536396,0.282634,A,X,AX
7119685,1296.0,9.257143,12.369243,1.3361835,0.28325152,A,X,AX
6814525,1295.0,9.25,14.193485,1.5344309,0.28386858,A,X,AX
7484485,1290.0,9.214286,10.117146,1.0979848,0.28448325,A,X,AX
6007021,1279.0,9.135715,13.66201,1.4954506,0.28509268,A,X,AX
6891572,1269.0,9.064285,12.327784,1.3600392,0.28569734,A,X,AX
6457135,1267.0,9.05,10.124637,1.1187444,0.28630105,A,X,AX
7702018978120,1257.0,8.978572,12.937297,1.4409081,0.28689998,A,X,AX
6031823,1252.0,8.942857,31.80398,3.5563557,0.28749657,A,Y,AY
7003236,1242.0,8.8714285,17.225063,1.9416336,0.28808835,A,X,AX
7079822,1238.0,8.842857,12.73768,1.4404485,0.28867826,A,X,AX
6826933,1236.0,8.828571,12.687128,1.4370533,0.28926718,A,X,AX
6865063,1231.0,8.792857,13.163879,1.4971106,0.28985375,A,X,AX
6933879,1229.0,8.778571,8.248887,0.9396617,0.29043934,A,X,AX
6287896,1227.0,8.764286,20.652525,2.3564413,0.291024,A,X,AX
2683245,1217.0,8.692857,9.13283,1.0506132,0.2916039,A,X,AX
6618934,1212.0,8.657143,10.550851,1.2187452,0.2921814,A,X,AX
6500843,1212.0,8.657143,9.35762,1.0809133,0.2927589,A,X,AX
6670240,1209.0,8.635715,10.253065,1.1872863,0.29333496,A,X,AX
6893743,1208.0,8.6285715,10.757192,1.2466943,0.29391056,A,X,AX
6587485,1207.0,8.6214285,12.093442,1.402719,0.2944857,A,X,AX
6957241,1185.0,8.464286,10.091246,1.1922146,0.29505032,A,X,AX
6353672,1178.0,8.414286,9.920537,1.1790112,0.29561165,A,X,AX
6588434,1177.0,8.407143,20.235981,2.4069986,0.29617247,A,X,AX
6393512,1175.0,8.392858,14.009604,1.6692294,0.29673234,A,X,AX
40006216,1173.0,8.3785715,21.525446,2.5691068,0.29729125,A,X,AX
7119917,1171.0,8.364285,10.044656,1.2008983,0.29784924,A,X,AX
4251232221619,1169.0,8.35,9.771435,1.1702317,0.29840624,A,X,AX
6618892,1167.0,8.335714,8.181933,0.9815516,0.2989623,A,X,AX
6256594,1165.0,8.321428,13.857584,1.6652892,0.29951742,A,X,AX
6240234,1160.0,8.285714,10.233452,1.2350718,0.30007014,A,X,AX
7259481,1160.0,8.285714,9.811377,1.1841316,0.30062288,A,X,AX
6908814,1157.0,8.264286,12.43493,1.5046587,0.30117416,A,X,AX
6240887,1156.0,8.257143,12.862512,1.5577435,0.30172497,A,X,AX
6405878,1155.0,8.25,10.7248955,1.2999873,0.30227533,A,X,AX
7464289,1155.0,8.25,13.059424,1.5829605,0.30282566,A,X,AX
6812750,1146.0,8.185715,9.395074,1.1477402,0.30337173,A,X,AX
7435453,1137.0,8.1214285,11.992485,1.4766473,0.3039135,A,X,AX
6205914,1124.0,8.028571,7.759833,0.9665273,0.30444908,A,X,AX
6032037,1122.0,8.014286,11.575207,1.4443216,0.30498368,A,X,AX
6088187,1121.0,8.007143,9.677904,1.2086588,0.30551782,A,X,AX
6853200,1121.0,8.007143,10.768657,1.3448813,0.30605197,A,X,AX
7001164,1120.0,8.0,9.789144,1.223643,0.30658564,A,X,AX
7100115,1120.0,8.0,9.103719,1.1379648,0.3071193,A,X,AX
E230000,1118.0,7.9857144,9.347015,1.170467,0.30765203,A,X,AX
6983726,1118.0,7.9857144,7.856616,0.98383385,0.30818474,A,X,AX
6917229,1117.0,7.9785714,10.173649,1.2751216,0.30871698,A,X,AX
4084500488465,1115.0,7.964286,9.613697,1.207101,0.30924827,A,X,AX
6329599,1111.0,7.9357142,19.615444,2.4717932,0.30977765,A,X,AX
6900183,1111.0,7.9357142,11.187873,1.4098129,0.31030703,A,X,AX
6967927,1110.0,7.928571,8.409179,1.0606172,0.31083593,A,X,AX
6032995,1109.0,7.9214287,8.682297,1.0960519,0.31136435,A,X,AX
3600540623911,1109.0,7.9214287,9.0395355,1.1411496,0.31189278,A,X,AX
6824524,1100.0,7.857143,8.623685,1.0975599,0.3124169,A,X,AX
6837666,1099.0,7.85,12.56919,1.6011708,0.31294057,A,X,AX
6265348,1082.0,7.7285714,15.243748,1.9723887,0.31345615,A,X,AX
6240101,1076.0,7.6857142,8.16651,1.062557,0.31396884,A,X,AX
6323063,1060.0,7.571429,12.475094,1.6476538,0.31447393,A,X,AX
6892612,1058.0,7.5571427,9.771689,1.2930402,0.31497803,A,X,AX
4250947598283,1058.0,7.5571427,6.865901,0.9085313,0.31548217,A,X,AX
6163402,1056.0,7.542857,5.9788256,0.7926473,0.31598532,A,X,AX
6099218,1052.0,7.5142856,9.287949,1.2360388,0.3164866,A,X,AX
6583823,1050.0,7.5,7.45683,0.994244,0.31698692,A,X,AX
7773226,1042.0,7.4428573,13.973907,1.8774923,0.31748343,A,X,AX
6618900,1042.0,7.4428573,7.1603136,0.9620383,0.31797993,A,X,AX
6927525,1032.0,7.3714285,8.899392,1.207282,0.31847164,A,X,AX
6634865,1030.0,7.357143,8.405267,1.1424634,0.31896242,A,X,AX
4250035271180,1028.0,7.3428574,8.002492,1.0898335,0.31945226,A,X,AX
6952168,1027.0,7.3357143,8.779973,1.1968805,0.3199416,A,X,AX
E3124300,1026.0,7.3285713,8.160656,1.1135398,0.3204305,A,X,AX
6353664,1025.0,7.321429,11.786022,1.6097981,0.3209189,A,X,AX
6555201,1023.0,7.3071427,7.5958114,1.039505,0.32140633,A,X,AX
7260836,1016.0,7.257143,21.434984,2.9536395,0.32189047,A,X,AX
6560599,1013.0,7.2357144,8.316241,1.1493324,0.32237315,A,X,AX
4250338498864,1000.0,7.142857,8.702577,1.2183608,0.32284963,A,X,AX
7074427,997.0,7.1214285,8.490764,1.1922837,0.32332468,A,X,AX
6031948,997.0,7.1214285,7.2573137,1.0190812,0.32379976,A,X,AX
6922898,995.0,7.107143,7.952825,1.1189904,0.32427385,A,X,AX
4250035200746,995.0,7.107143,11.453815,1.611592,0.32474795,A,X,AX
6086918,994.0,7.1,9.130784,1.2860259,0.3252216,A,X,AX
7103028,993.0,7.0928574,11.3979025,1.6069549,0.32569474,A,X,AX
6899625,992.0,7.0857143,11.846431,1.6718754,0.32616743,A,X,AX
6006429,989.0,7.0642858,8.335769,1.1799874,0.32663867,A,X,AX
6814517,986.0,7.042857,12.298372,1.7462192,0.32710847,A,X,AX
6968446,983.0,7.0214286,7.8405585,1.1166614,0.32757688,A,X,AX
7260364,981.0,7.007143,10.957404,1.5637478,0.3280443,A,X,AX
6262089,981.0,7.007143,6.5662055,0.9370731,0.32851174,A,X,AX
6933853,980.0,7.0,6.928203,0.9897433,0.32897872,A,X,AX
2679366,979.0,6.992857,6.1882887,0.88494426,0.32944518,A,X,AX
3600540623959,973.0,6.95,7.6358914,1.0986894,0.32990882,A,X,AX
7119859,969.0,6.9214287,12.518802,1.808702,0.33037052,A,X,AX
6337584,969.0,6.9214287,7.381747,1.0665063,0.33083224,A,X,AX
2208181,966.0,6.9,6.5220156,0.94521964,0.33129254,A,X,AX
7103044,964.0,6.885714,7.1137576,1.0331184,0.33175185,A,X,AX
6043943,964.0,6.885714,7.307319,1.061229,0.3322112,A,X,AX
7254086,958.0,6.8428574,10.481413,1.5317304,0.33266768,A,X,AX
6641340,954.0,6.8142858,6.2818522,0.9218651,0.33312225,A,X,AX
2683667,949.0,6.7785716,6.509614,0.9603224,0.33357444,A,X,AX
6561696,947.0,6.7642856,16.717117,2.4713795,0.33402568,A,X,AX
6045724,944.0,6.742857,7.394701,1.0966718,0.3344755,A,X,AX
6339242,942.0,6.7285714,11.5539665,1.71715,0.33492434,A,X,AX
ER3230,937.0,6.6928573,7.983703,1.1928692,0.3353708,A,X,AX
6970772,936.0,6.6857142,6.7505245,1.0096939,0.3358168,A,X,AX
6634832,936.0,6.6857142,7.4882026,1.1200303,0.3362628,A,X,AX
6575126,931.0,6.65,20.429182,3.0720575,0.3367064,A,X,AX
AltruistANTIREDNESS,931.0,6.65,8.934554,1.343542,0.33715,A,X,AX
6079889,926.0,6.614286,8.021182,1.2127056,0.33759123,A,X,AX
8410436335317,924.0,6.6,7.7057395,1.1675363,0.3380315,A,X,AX
7384297,923.0,6.5928574,8.381116,1.2712418,0.33847132,A,X,AX
7236992,922.0,6.5857143,6.3370395,0.9622403,0.33891064,A,X,AX
6125187,919.0,6.5642858,7.3496547,1.1196427,0.33934852,A,X,AX
6678011,913.0,6.5214286,6.209146,0.9521144,0.33978355,A,X,AX
6670984,912.0,6.5142856,5.429053,0.8334072,0.34021813,A,X,AX
6948687,911.0,6.507143,6.7913365,1.0436741,0.3406522,A,X,AX
4250338414734,910.0,6.5,8.168636,1.2567133,0.3410858,A,X,AX
800897108106,909.0,6.492857,5.5896826,0.86089724,0.34151894,A,X,AX
4059729360717,905.0,6.464286,6.5792465,1.017784,0.34195015,A,X,AX
6542530,897.0,6.4071426,12.369548,1.9305873,0.34237757,A,X,AX
3600542518406,896.0,6.4,8.056276,1.2587931,0.3428045,A,X,AX
6086439,894.0,6.385714,9.775601,1.5308548,0.3432305,A,X,AX
6293126,892.0,6.3714285,5.4447427,0.854556,0.3436555,A,X,AX
7119545,892.0,6.3714285,21.530752,3.379266,0.34408054,A,Y,AY
6962092,891.0,6.364286,7.8357334,1.2312039,0.34450507,A,X,AX
6777755,890.0,6.357143,11.040195,1.7366599,0.34492916,A,X,AX
6041657,889.0,6.35,13.677122,2.1538775,0.34535277,A,X,AX
6240259,888.0,6.3428574,7.311931,1.1527818,0.34577587,A,X,AX
7127498,882.0,6.3,6.9558735,1.1041069,0.34619614,A,X,AX
7074385,882.0,6.3,8.607091,1.3662049,0.34661642,A,X,AX
5601182502044,879.0,6.2785716,5.9928827,0.9544978,0.34703523,A,X,AX
